[2025-10-02 23:19:48,323][main_train.py][line:65][INFO] start training!
[2025-10-02 23:19:51,978][main_train.py][line:80][INFO] Epoch:[0/300]	 loss=332.96609	 acc=25.172	 avg_spikes=0.000
[2025-10-02 23:19:52,495][main_train.py][line:84][INFO] Epoch:[0/300]	 Test acc=35.430	 Test avg_spikes=0.000

[2025-10-02 23:19:52,508][main_train.py][line:91][INFO] Best Test acc=35.430
[2025-10-02 23:19:56,139][main_train.py][line:80][INFO] Epoch:[1/300]	 loss=282.58800	 acc=37.992	 avg_spikes=0.000
[2025-10-02 23:19:56,629][main_train.py][line:84][INFO] Epoch:[1/300]	 Test acc=42.590	 Test avg_spikes=0.000

[2025-10-02 23:19:56,638][main_train.py][line:91][INFO] Best Test acc=42.590
[2025-10-02 23:20:00,383][main_train.py][line:80][INFO] Epoch:[2/300]	 loss=250.32745	 acc=45.794	 avg_spikes=0.000
[2025-10-02 23:20:00,865][main_train.py][line:84][INFO] Epoch:[2/300]	 Test acc=38.110	 Test avg_spikes=0.000

[2025-10-02 23:20:00,865][main_train.py][line:91][INFO] Best Test acc=42.590
[2025-10-02 23:20:04,472][main_train.py][line:80][INFO] Epoch:[3/300]	 loss=228.35266	 acc=50.738	 avg_spikes=0.000
[2025-10-02 23:20:04,981][main_train.py][line:84][INFO] Epoch:[3/300]	 Test acc=59.870	 Test avg_spikes=0.000

[2025-10-02 23:20:04,991][main_train.py][line:91][INFO] Best Test acc=59.870
[2025-10-02 23:20:08,254][main_train.py][line:80][INFO] Epoch:[4/300]	 loss=214.37936	 acc=54.366	 avg_spikes=0.000
[2025-10-02 23:20:08,759][main_train.py][line:84][INFO] Epoch:[4/300]	 Test acc=63.350	 Test avg_spikes=0.000

[2025-10-02 23:20:08,769][main_train.py][line:91][INFO] Best Test acc=63.350
[2025-10-02 23:20:12,246][main_train.py][line:80][INFO] Epoch:[5/300]	 loss=200.90648	 acc=57.206	 avg_spikes=0.000
[2025-10-02 23:20:12,775][main_train.py][line:84][INFO] Epoch:[5/300]	 Test acc=65.050	 Test avg_spikes=0.000

[2025-10-02 23:20:12,785][main_train.py][line:91][INFO] Best Test acc=65.050
[2025-10-02 23:20:16,525][main_train.py][line:80][INFO] Epoch:[6/300]	 loss=190.11468	 acc=59.760	 avg_spikes=0.000
[2025-10-02 23:20:17,038][main_train.py][line:84][INFO] Epoch:[6/300]	 Test acc=66.820	 Test avg_spikes=0.000

[2025-10-02 23:20:17,048][main_train.py][line:91][INFO] Best Test acc=66.820
[2025-10-02 23:20:20,755][main_train.py][line:80][INFO] Epoch:[7/300]	 loss=181.97620	 acc=61.504	 avg_spikes=0.000
[2025-10-02 23:20:21,250][main_train.py][line:84][INFO] Epoch:[7/300]	 Test acc=58.360	 Test avg_spikes=0.000

[2025-10-02 23:20:21,250][main_train.py][line:91][INFO] Best Test acc=66.820
[2025-10-02 23:20:24,853][main_train.py][line:80][INFO] Epoch:[8/300]	 loss=176.16959	 acc=63.218	 avg_spikes=0.000
[2025-10-02 23:20:25,352][main_train.py][line:84][INFO] Epoch:[8/300]	 Test acc=48.150	 Test avg_spikes=0.000

[2025-10-02 23:20:25,353][main_train.py][line:91][INFO] Best Test acc=66.820
[2025-10-02 23:20:29,044][main_train.py][line:80][INFO] Epoch:[9/300]	 loss=171.38771	 acc=63.930	 avg_spikes=0.000
[2025-10-02 23:20:29,603][main_train.py][line:84][INFO] Epoch:[9/300]	 Test acc=62.560	 Test avg_spikes=0.000

[2025-10-02 23:20:29,603][main_train.py][line:91][INFO] Best Test acc=66.820
[2025-10-02 23:20:33,243][main_train.py][line:80][INFO] Epoch:[10/300]	 loss=166.59691	 acc=65.036	 avg_spikes=0.000
